column,missing_count,missing_rate
VendorID,0,0.0
tpep_pickup_datetime,0,0.0
tpep_dropoff_datetime,0,0.0
passenger_count,0,0.0
trip_distance,0,0.0
RatecodeID,0,0.0
store_and_fwd_flag,0,0.0
PULocationID,0,0.0
DOLocationID,0,0.0
payment_type,0,0.0
fare_amount,0,0.0
extra,0,0.0
mta_tax,0,0.0
tip_amount,0,0.0
tolls_amount,0,0.0
improvement_surcharge,0,0.0
total_amount,0,0.0
congestion_surcharge,0,0.0
Airport_fee,0,0.0
cbd_congestion_fee,0,0.0
trip_duration_min,0,0.0
tip_paid,0,0.0
tip_rate,0,0.0
tip_rate_pct,0,0.0
pre_tip_total,0,0.0
tip_rate_total,0,0.0
pickup_hour,0,0.0
time_group,0,0.0
distance_group,0,0.0
fare_group,0,0.0
passenger_group,0,0.0
